REF;DESIGNATION;COLOR;SIZE;COLOR CODE;SIZE CODE;DATE TO RECEIVE;QUANTITY;BARCODE;SKU;GS1_EAN13
SP508;Unisex sherpa dropped shoulders overshirt;Wet Sand;M;96278;94057;21/09/2026;680;;SP508_96278_94057;3663639149150
SP508;Unisex sherpa dropped shoulders overshirt;Wet Sand;L;96278;94058;21/09/2026;560;;SP508_96278_94058;3663639149143
SP525;Men's striped linen shirt;Ivory / Wet Sand Stripes;M;99685;99680;21/09/2026;300;;SP525_99685_99680;3663639151931
SP525;Men's striped linen shirt;Ivory / Wet Sand Stripes;L;99685;99681;21/09/2026;350;;SP525_99685_99681;3663639151924
SP525;Men's striped linen shirt;Ivory / Wet Sand Stripes;XL;99685;99682;21/09/2026;200;;SP525_99685_99682;3663639151955
SP525;Men's striped linen shirt;White / Navy Blue Stripes;M;99686;99680;18/09/2026;375;;SP525_99686_99680;3663639151993
SP525;Men's striped linen shirt;White / Navy Blue Stripes;L;99686;99681;21/09/2026;450;;SP525_99686_99681;3663639151986
SP603;Men's sherpa vest;Black;S;94071;94065;21/09/2026;1270;;SP603_94071_94065;3663639145787
SP603;Men's sherpa vest;Black;L;94071;94067;21/09/2026;2813;;SP603_94071_94067;3663639145763
SP603;Men's sherpa vest;Black;XXL;94071;94069;21/09/2026;550;;SP603_94071_94069;3663639145800
SP603;Men's sherpa vest;Forest Khaki;S;96279;94065;21/09/2026;970;;SP603_96279_94065;3663639149235
SP603;Men's sherpa vest;Forest Khaki;M;96279;94066;21/09/2026;2130;;SP603_96279_94066;3663639149228
SP603;Men's sherpa vest;Forest Khaki;L;96279;94067;21/09/2026;2175;;SP603_96279_94067;3663639149211
SP603;Men's sherpa vest;Forest Khaki;XL;96279;94068;21/09/2026;910;;SP603_96279_94068;3663639149242
SP603;Men's sherpa vest;Wet Sand;M;96280;94066;21/09/2026;2564;;SP603_96280_94066;3663639149280
SP603;Men's sherpa vest;Wet Sand;L;96280;94067;21/09/2026;1665;;SP603_96280_94067;3663639149273
SP603;Men's sherpa vest;Wet Sand;XL;96280;94068;21/09/2026;970;;SP603_96280_94068;3663639149303
SP603;Men's sherpa vest;Wet Sand;XXL;96280;94069;21/09/2026;660;;SP603_96280_94069;3663639149310
SP604;Ladies' sherpa vest;Black;XS;94079;94074;23/10/2026;220;;SP604_94079_94074;3663639145978
SP604;Ladies' sherpa vest;Black;S;94079;94075;21/09/2026;234;;SP604_94079_94075;3663639145954
SP604;Ladies' sherpa vest;Black;S;94079;94075;23/10/2026;550;;SP604_94079_94075;3663639145954
SP604;Ladies' sherpa vest;Black;M;94079;94076;21/09/2026;276;;SP604_94079_94076;3663639145947
SP604;Ladies' sherpa vest;Black;M;94079;94076;23/10/2026;400;;SP604_94079_94076;3663639145947
SP604;Ladies' sherpa vest;Black;L;94079;94077;21/09/2026;80;;SP604_94079_94077;3663639145930
SP604;Ladies' sherpa vest;Black;L;94079;94077;23/10/2026;270;;SP604_94079_94077;3663639145930
SP604;Ladies' sherpa vest;Black;XL;94079;94078;23/10/2026;70;;SP604_94079_94078;3663639145961
SP604;Ladies' sherpa vest;Forest Khaki;XS;96281;94074;23/10/2026;208;;SP604_96281_94074;3663639149365
SP604;Ladies' sherpa vest;Forest Khaki;S;96281;94075;21/09/2026;11;;SP604_96281_94075;3663639149341
SP604;Ladies' sherpa vest;Forest Khaki;S;96281;94075;23/10/2026;650;;SP604_96281_94075;3663639149341
SP604;Ladies' sherpa vest;Forest Khaki;M;96281;94076;23/10/2026;360;;SP604_96281_94076;3663639149334
SP604;Ladies' sherpa vest;Forest Khaki;L;96281;94077;23/10/2026;120;;SP604_96281_94077;3663639149327
SP604;Ladies' sherpa vest;Forest Khaki;XL;96281;94078;21/09/2026;35;;SP604_96281_94078;3663639149358
SP604;Ladies' sherpa vest;Forest Khaki;XL;96281;94078;23/10/2026;100;;SP604_96281_94078;3663639149358
SP604;Ladies' sherpa vest;Wet Sand;XS;96282;94074;23/10/2026;443;;SP604_96282_94074;3663639149419
SP604;Ladies' sherpa vest;Wet Sand;XS;96282;94074;24/12/2026;590;;SP604_96282_94074;3663639149419
SP604;Ladies' sherpa vest;Wet Sand;S;96282;94075;23/10/2026;1106;;SP604_96282_94075;3663639149396
SP604;Ladies' sherpa vest;Wet Sand;S;96282;94075;24/12/2026;820;;SP604_96282_94075;3663639149396
SP604;Ladies' sherpa vest;Wet Sand;M;96282;94076;23/10/2026;887;;SP604_96282_94076;3663639149389
SP604;Ladies' sherpa vest;Wet Sand;M;96282;94076;24/12/2026;950;;SP604_96282_94076;3663639149389
SP604;Ladies' sherpa vest;Wet Sand;L;96282;94077;23/10/2026;456;;SP604_96282_94077;3663639149372
SP604;Ladies' sherpa vest;Wet Sand;L;96282;94077;24/12/2026;480;;SP604_96282_94077;3663639149372
SP604;Ladies' sherpa vest;Wet Sand;XL;96282;94078;23/10/2026;193;;SP604_96282_94078;3663639149402
SP604;Ladies' sherpa vest;Wet Sand;XL;96282;94078;24/12/2026;300;;SP604_96282_94078;3663639149402
SP706;Eco-friendly men's striped swim shorts;White / Iron Grey Stripes;S;99707;99702;23/10/2026;100;;SP706_99707_99702;3663639152037
SP706;Eco-friendly men's striped swim shorts;White / Iron Grey Stripes;M;99707;99703;23/10/2026;350;;SP706_99707_99703;3663639152051
SP706;Eco-friendly men's striped swim shorts;White / Iron Grey Stripes;L;99707;99704;23/10/2026;447;;SP706_99707_99704;3663639152044
SP706;Eco-friendly men's striped swim shorts;White / Iron Grey Stripes;XL;99707;99705;23/10/2026;299;;SP706_99707_99705;3663639152068
SP706;Eco-friendly men's striped swim shorts;White / Iron Grey Stripes;XXL;99707;99706;23/10/2026;46;;SP706_99707_99706;3663639152075
