REF;DESIGNATION;COLOR;SIZE;COLOR CODE;SIZE CODE;QUANTITY;BARCODE;SKU;GS1_EAN13
SP221;Ladies’ linen polo shirt;Ivory;L;92040;92037;242;;SP221_92040_92037;3663938678863
SP221;Ladies’ linen polo shirt;Light Olive Green;XS;92041;92034;226;;SP221_92041_92034;3663938678634
SP221;Ladies’ linen polo shirt;Light Olive Green;S;92041;92035;540;;SP221_92041_92035;3663938678719
SP221;Ladies’ linen polo shirt;Light Olive Green;M;92041;92036;346;;SP221_92041_92036;3663938678795
SP221;Ladies’ linen polo shirt;Light Olive Green;L;92041;92037;235;;SP221_92041_92037;3663938678870
SP221;Ladies’ linen polo shirt;Navy Blue;XS;92042;92034;106;;SP221_92042_92034;3663938678641
SP221;Ladies’ linen polo shirt;Navy Blue;S;92042;92035;106;;SP221_92042_92035;3663938678726
SP221;Ladies’ linen polo shirt;Navy Blue;M;92042;92036;40;;SP221_92042_92036;3663938678801
SP221;Ladies’ linen polo shirt;Navy Blue;L;92042;92037;76;;SP221_92042_92037;3663938678887
SP221;Ladies’ linen polo shirt;Organic Khaki;XS;92043;92034;125;;SP221_92043_92034;3663938678658
SP221;Ladies’ linen polo shirt;Organic Khaki;S;92043;92035;581;;SP221_92043_92035;3663938678733
SP221;Ladies’ linen polo shirt;Organic Khaki;M;92043;92036;592;;SP221_92043_92036;3663938678818
SP221;Ladies’ linen polo shirt;Organic Khaki;L;92043;92037;428;;SP221_92043_92037;3663938678894
SP221;Ladies’ linen polo shirt;Peacock Blue;XS;92044;92034;24;;SP221_92044_92034;3663938678665
SP221;Ladies’ linen polo shirt;Peacock Blue;S;92044;92035;284;;SP221_92044_92035;3663938678740
SP221;Ladies’ linen polo shirt;Peacock Blue;M;92044;92036;223;;SP221_92044_92036;3663938678825
SP221;Ladies’ linen polo shirt;Peacock Blue;L;92044;92037;155;;SP221_92044_92037;3663938678900
SP221;Ladies’ linen polo shirt;Stone Grey;XS;92045;92034;0;;SP221_92045_92034;3663938678672
SP221;Ladies’ linen polo shirt;Stone Grey;S;92045;92035;384;;SP221_92045_92035;3663938678757
SP221;Ladies’ linen polo shirt;Stone Grey;M;92045;92036;249;;SP221_92045_92036;3663938678832
SP221;Ladies’ linen polo shirt;Stone Grey;L;92045;92037;120;;SP221_92045_92037;3663938678917
SP221;Ladies’ linen polo shirt;Wet Sand;XS;92046;92034;197;;SP221_92046_92034;3663938678689
SP221;Ladies’ linen polo shirt;Wet Sand;S;92046;92035;412;;SP221_92046_92035;3663938678764
SP221;Ladies’ linen polo shirt;Wet Sand;M;92046;92036;403;;SP221_92046_92036;3663938678849
SP221;Ladies’ linen polo shirt;Wet Sand;L;92046;92037;309;;SP221_92046_92037;3663938678924
SP229;Eco-friendly men's Terry Towel polo shirt;Cool Blue;S;94228;94223;13;;SP229_94228_94223;3663639144469
SP229;Eco-friendly men's Terry Towel polo shirt;Cool Blue;M;94228;94224;144;;SP229_94228_94224;3663639144452
SP229;Eco-friendly men's Terry Towel polo shirt;Cool Blue;L;94228;94225;176;;SP229_94228_94225;3663639144445
SP229;Eco-friendly men's Terry Towel polo shirt;Cool Blue;XL;94228;94226;89;;SP229_94228_94226;3663639144476
SP229;Eco-friendly men's Terry Towel polo shirt;Cool Blue;XXL;94228;94227;16;;SP229_94228_94227;3663639144483
SP229;Eco-friendly men's Terry Towel polo shirt;Light Olive Green;S;94229;94223;4;;SP229_94229_94223;3663639144513
SP229;Eco-friendly men's Terry Towel polo shirt;Light Olive Green;M;94229;94224;99;;SP229_94229_94224;3663639144506
SP229;Eco-friendly men's Terry Towel polo shirt;Light Olive Green;L;94229;94225;120;;SP229_94229_94225;3663639144490
SP229;Eco-friendly men's Terry Towel polo shirt;Light Olive Green;XL;94229;94226;73;;SP229_94229_94226;3663639144520
SP229;Eco-friendly men's Terry Towel polo shirt;Light Olive Green;XXL;94229;94227;14;;SP229_94229_94227;3663639144537
SP229;Eco-friendly men's Terry Towel polo shirt;Navy Blue;S;94230;94223;17;;SP229_94230_94223;3663639144568
SP229;Eco-friendly men's Terry Towel polo shirt;Navy Blue;M;94230;94224;137;;SP229_94230_94224;3663639144551
SP229;Eco-friendly men's Terry Towel polo shirt;Navy Blue;L;94230;94225;164;;SP229_94230_94225;3663639144544
SP229;Eco-friendly men's Terry Towel polo shirt;Navy Blue;XL;94230;94226;85;;SP229_94230_94226;3663639144575
SP229;Eco-friendly men's Terry Towel polo shirt;Navy Blue;XXL;94230;94227;13;;SP229_94230_94227;3663639144582
SP229;Eco-friendly men's Terry Towel polo shirt;White;S;94231;94223;14;;SP229_94231_94223;3663639144612
SP229;Eco-friendly men's Terry Towel polo shirt;White;M;94231;94224;135;;SP229_94231_94224;3663639144605
SP229;Eco-friendly men's Terry Towel polo shirt;White;L;94231;94225;156;;SP229_94231_94225;3663639144599
SP229;Eco-friendly men's Terry Towel polo shirt;White;XL;94231;94226;89;;SP229_94231_94226;3663639144629
SP229;Eco-friendly men's Terry Towel polo shirt;White;XXL;94231;94227;12;;SP229_94231_94227;3663639144636
SP303;Eco-friendly men's dropped shoulders raw edge collar slub t-Shirt;Navy Blue;S;93556;93550;448;;SP303_93556_93550;3663938718774
SP303;Eco-friendly men's dropped shoulders raw edge collar slub t-Shirt;Navy Blue;M;93556;93551;993;;SP303_93556_93551;3663938718804
SP303;Eco-friendly men's dropped shoulders raw edge collar slub t-Shirt;Navy Blue;L;93556;93552;1145;;SP303_93556_93552;3663938718835
SP303;Eco-friendly men's dropped shoulders raw edge collar slub t-Shirt;Navy Blue;XL;93556;93553;1145;;SP303_93556_93553;3663938718866
SP303;Eco-friendly men's dropped shoulders raw edge collar slub t-Shirt;Navy Blue;XXL;93556;93554;248;;SP303_93556_93554;3663938718897
SP303;Eco-friendly men's dropped shoulders raw edge collar slub t-Shirt;Navy Blue;3XL;93556;93555;48;;SP303_93556_93555;3663938718927
SP303;Eco-friendly men's dropped shoulders raw edge collar slub t-Shirt;Tender Green;S;93557;93550;337;;SP303_93557_93550;3663938718781
SP303;Eco-friendly men's dropped shoulders raw edge collar slub t-Shirt;Tender Green;M;93557;93551;786;;SP303_93557_93551;3663938718811
SP303;Eco-friendly men's dropped shoulders raw edge collar slub t-Shirt;Tender Green;L;93557;93552;892;;SP303_93557_93552;3663938718842
SP303;Eco-friendly men's dropped shoulders raw edge collar slub t-Shirt;Tender Green;XL;93557;93553;841;;SP303_93557_93553;3663938718873
SP303;Eco-friendly men's dropped shoulders raw edge collar slub t-Shirt;Tender Green;XXL;93557;93554;149;;SP303_93557_93554;3663938718903
SP303;Eco-friendly men's dropped shoulders raw edge collar slub t-Shirt;Tender Green;3XL;93557;93555;48;;SP303_93557_93555;3663938718934
SP303;Eco-friendly men's dropped shoulders raw edge collar slub t-Shirt;White;S;93558;93550;789;;SP303_93558_93550;3663938718798
